state_long,state_short,elec_year,gelec_dem,gelec_rep,gelec_oth
Arizona ,AZ,2012,1036542,1104457,102423
California ,CA,2012,7864624,4713887,
Connecticut ,CT,2012,792983,604569,114212
Delaware ,DE,2012,265415,115700,18492
Florida ,FL,2012,4523451,3458267,208228
Hawaii ,HI,2012,269489,160994,
Indiana ,IN,2012,1281181,1133621,145300
Maine ,ME,2012,92900,215399,392300
Maryland ,MD,2012,1474028,693291,465896
Massachusetts ,MA,2012,1696346,1458048,2159
Michigan ,MI,2012,2735826,1767386,149706
Minnesota ,MN,2012,1854595,867974,120638
Mississippi ,MS,2012,503467,709626,28475
Missouri ,MO,2012,1494125,1066159,165509
Montana ,MT,2012,236123,218051,31892
Nebraska ,NE,2012,332979,455593,
Nevada ,NV,2012,446080,457656,94069
New Jersey ,NJ,2012,1985783,1329405,59480
New Mexico ,NM,2012,395717,351260,28816
New York ,NY,2012,4432525,1517578,729575
North Dakota ,ND,2012,161163,158282,1406
Ohio ,OH,2012,2762766,2435744,250617
Pennsylvania ,PA,2012,3021364,2509132,98995
Rhode Island ,RI,2012,271034,146222,933
Tennessee ,TN,2012,705882,1506443,109152
Texas ,TX,2012,3194927,4440137,229758
Utah ,UT,2012,301873,657608,47420
Vermont ,VT,2012,0,72898,219864
Virginia ,VA,2012,2010067,1785542,6587
Washington ,WA,2012,1855493,1213924,
West Virginia ,WV,2012,399898,240787,19517
Wisconsin ,WI,2012,1547104,1380126,82181
Wyoming ,WY,2012,53019,185250,6593
