state_long,state_short,elec_year,gelec_dem,gelec_rep,gelec_oth
Alabama,AL,2008,752391,1305383,2417
Alaska,AK,2008,151767,147814,18142
Arkansas,AR,2008,804678,,207076
Colorado,CO,2008,1231049,990784,109879
Delaware,DE,2008,257539,140595,
Georgia,GA,2008,2667316,3095130,127995
Idaho,ID,2008,219903,371744,53133
Illinois,IL,2008,3615844,1520621,193419
Iowa,IA,2008,941665,560006,1247
Kansas,KS,2008,441399,727121,42170
Kentucky,KY,2008,847005,953816,
Louisiana,LA,2008,988298,867177,41099
Maine,ME,2008,279510,444300,620
Massachusetts,MA,2008,1971974,926044,97229
Michigan,MI,2008,3038386,1641070,169164
Minnesota,MN,2008,1212629,1212317,462700
Mississippi,MS,2008,480915,766111,1243473
Montana,MT,2008,348289,129369,
Nebraska,NE,2008,317456,455854,19201
New Hampshire,NH,2008,358438,314403,21946
New Jersey,NJ,2008,1951218,1461025,70202
New Mexico,NM,2008,505128,318522,
North Carolina,NC,2008,2249311,1887510,135149
Oklahoma,OK,2008,527736,763375,55708
Oregon,OR,2008,864392,805159,97953
Rhose Island,RI,2008,320644,116174,1994
South Carolina,SC,2008,790621,1076534,4276
South Dakota,SD,2008,237889,142784,
Tennessee,TN,2008,767236,1579477,77872
Texas,TX,2008,3389365,4337469,185241
Virginia,VA,2008,2369327,1228830,45137
West Virginia,WV,2008,447560,254629,119
Wyoming,WY,2008,126833,372109,562
